sku,name,category,current_stock,lead_time_days,supplier,on_order,last_14d_sales,unit_cost,supplier_reliability,avg_delay_days,defect_rate,region_risk,min_order_qty,pack_size,warehouse_capacity,hist_wk_8,hist_wk_7,hist_wk_6,hist_wk_5,hist_wk_4,hist_wk_3,hist_wk_2,hist_wk_1
RTL-2001,Wireless Earbuds,Consumer Electronics,140,18,Pacific Audio Co,40,196,28.50,76,4.2,2.4,High,100,20,420,72,78,81,86,92,104,98,110
RTL-2002,USB-C Charging Cable,Accessories,1220,7,NorthPort Components,300,910,3.20,92,0.9,0.6,Low,500,100,2200,380,402,418,436,452,460,448,455
RTL-2003,Insulated Water Bottle,Home Goods,260,12,EverPeak Goods,0,238,9.40,84,2.6,1.1,Medium,120,24,620,84,91,104,112,118,130,126,132
RTL-2004,Organic Coffee Beans,Grocery,310,9,Roastline Foods,160,420,6.75,88,1.4,0.8,Medium,150,30,900,166,178,186,201,210,222,218,226
RTL-2005,Yoga Mat,Wellness,75,16,FlexiSource,20,98,13.90,73,3.9,2.2,High,80,10,260,34,38,42,46,50,57,54,62
RTL-2006,LED Desk Lamp,Home Office,190,20,BrightWorks Supply,40,154,18.20,79,3.2,1.8,Medium,60,12,360,52,57,61,66,70,76,73,81
RTL-2007,Kids Rain Jacket,Apparel,420,14,Harbor Stitch,120,308,15.60,86,1.8,1.0,Medium,150,25,880,120,134,141,150,160,168,166,174
RTL-2008,Notebook 3-Pack,Stationery,980,6,PaperTrail Wholesale,240,812,2.10,94,0.6,0.4,Low,400,100,1800,340,352,370,382,396,410,404,416
RTL-2009,Smart Plug,Consumer Electronics,60,21,Pacific Audio Co,0,84,11.80,76,4.2,2.4,High,80,20,220,24,27,31,36,40,44,42,48
RTL-2010,Protein Bar Variety Pack,Grocery,510,8,FreshRoute Foods,180,560,8.25,89,1.3,0.9,Medium,200,40,1050,220,234,246,258,274,286,280,292
RTL-2011,Reusable Tote Bag,Accessories,720,5,GreenCarry Supply,160,392,1.85,96,0.3,0.3,Low,300,100,1400,162,170,184,190,198,206,202,210
RTL-2012,Bluetooth Speaker,Consumer Electronics,88,19,BrightWorks Supply,20,112,24.50,79,3.2,1.8,Medium,60,10,300,38,42,47,52,58,64,61,68
